,Description
38,Kawhi Leonard steps back the @raptors triple on TNT!
39,@marcgasol droppin’ dimes early on TNT for the @raptors!
40,"?? BROOK LOPEZ MIC’D UP! ??
...
??: @bucks x @raptors G3
?: 7pm/et ??: @nbaontnt"
41,Superstars on both sides... the Eastern Conference Finals between the @bucks & @raptors continues 7:00pm/et @nbaontnt!
42,"The Eastern Conference Finals heads up to Toronto for Game 3, 7:00pm/et @nbaontnt!"
43,The @warriors sit one win away from the #NBAFinals presented by @youtube TV with 3-0 Western Conference Finals lead.
44,@stephencurry30 puts up 36 to lead the @warriors in Game 3 victory!
45,@money23green puts up 20p/13r/12a in the @warriors Game 3 victory!
46,The @warriors take 3-0 Western Conference Finals lead with 110-99 victory in Portland!
47,@stephencurry30 with the shake & triple!
48,@money23green powers his pregame warmup with the #PowerbeatsPro ?? for a big performance in Portland!
49,@money23green secures his 3rd triple-double of the 2019 #NBAPlayoffs for the @warriors with 18/11/11 through three quarters! #TripleDoubleAlert
50,"@stephencurry30 from deep, plus the foul! #NBAPlayoffs (??: ESPN)"
51,@meyersleonard11 gets the @trailblazers crowd UP! #NBAPlayoffs (??: ESPN)
52,@zachcollins_33 finds @eneskanter11 in the paint for the @trailblazers! #NBAPlayoffs (??: ESPN)
53,"The @warriors & @trailblazers get to their spots for three! #NBABreakdown
...
??: WCF Game 3
?: 9:00pm/et
??: ESPN"
54,"In @budweiserusa #LegendaryMoments history.. we showcase Rick Barry’s 55-point performance in Game 3 of the 1967 #NBAFinals for the @warriors! ...Who do you have in Game 3, @warriors or @trailblazers?"
55,"From playing in the @nbagleague to facing his brother in the Western Conference Finals, it’s been QUITE the journey for @sdotcurry!"
56,"The Western Conference Finals heads up to Portland for Game 3, 9:00pm/et on ESPN!"
57,The @bucks join the @warriors with 2-0 Conference leads! #NBAPlayoffs
58,@giannis_an34 powers the @bucks to 2-0 ECF lead with 30 points & 17 boards!
59,@giannis_an34 muscles into the lane for the and-one! #NBAPlayoffs
60,@giannis_an34 STRETCHES for the SLAM on TNT!
61,@giannis_an34 with the SLAM & SWAT to open Game 2 of the Eastern Conference Finals on TNT!
62,?????? Presenting the finalists for the six awards that honor the top performers from the 2018-19 regular season at the 2019 #NBAAwards (9:00pm/et June 24th @nbaontnt)!
63,"Ahead of Game 2 of the Eastern Conference Finals (8:30pm/et @nbaontnt), we flash back to Kawhi at the #NBACombine (repost @nbahistory)!"
64,"?? @giannis_an34’s clutch 4th Q in Game 1 of the ECF! #NBABreakdown
...
??: @raptors/@bucks G2
?: 8:30pm/et
??: @nbaontnt"
65,"Our peeps @spiceadams, @tristanj22, @jesser & @iamkrislondon of the #NBAPlaymakers test their skills at the #NBACombine powered by Under Armour! ....coverage continues 3:00pm/et ESPN2"
66,"Will the @raptors even the ECF up 1-1, or will the @bucks go up 2-0... 8:30pm/et @nbaontnt!"
67,The @warriors take 2-0 series lead in the Western Conference Finals!
68,@andre with the big defensive stop for the @warriors! #PhantomCam
69,The @warriors close out on 14-3 run to win Game 2 of the Western Conference Finals!
70,“We’ll have the film clip at home...” @stephencurry30 on playing his brother @sdotcurry! #NBAPlayoffs
71,The @warriors take 2-0 WCF lead over @trailblazers with 114-111 home W!
72,@andre’s defense seals the @warriors Game 2 victory! #NBAPlayoffs
73,@sdotcurry triple & @money23green to @flyght5 lob late in Game 2! #NBAPlayoffs
74,What a play by @damianlillard!!
75,@damianlillard finds the cutting @meyersleonard11 for the @trailblazers ?? on ESPN!
76,The @trailblazers sink franchise #NBAPlayoffs high for a half with 11 made threes in the first-half on ESPN!
77,@jonasjerebko gets flashy to @jbell! (??: ESPN)
78,The @warriors & @trailblazers arrive for Game 2 of the Western Conference Finals on ESPN!
79,?? Only 2 weeks left until the #NBAFinals presented by @youtube TV!
80,"@money23green tosses it to @andre! #NBABreakdown
...
??: @trailblazers/@warriors G2
?: 9:00pm/et
??: ESPN"
81,"Before the #NBACombine powered by Under Armour gets underway (3:00pm/et ESPN2), we throw it back to @stephencurry30 in 2009!"
82,"Will the @trailblazers even the WCF up 1-1, or will the @warriors go up 2-0... 9:00pm/et @nbaonespn!"
83,The @bucks join @warriors with 1-0 Conference Finals lead! #NBAPlayoffs
84,Brook Lopez puts up 29 points & adds 4 blocks in the @bucks ECF Game 1 W!
85,The @bucks take 1-0 ECF series lead over @raptors with 108-100 victory at home! #NBAPlayoffs
86,Brook Lopez with the BIG SLAM & TRIPLE late for the @bucks!
87,@thebledshow with a pair of TOUGH finishes on TNT!
88,Shooter’s touch!
89,@pskills43 on the attack! #PhantomCam
90,The @raptors find Kawhi in the lane to close the half on TNT!
91,@pskills43 RISES UP for the @raptors! (??: @nbaontnt)
92,@giannis_an34 is out running early on TNT! #NBAPlayoffs
93,We check in with the #MtnDew3PT leaders of the Conference Semis!
94,"During the Eastern Conference Semifinals, Kawhi Leonard scored the 3rd-most total points in a series since 1977! ... ??: ECF GAME 1 ?: 8:30pm/et ??: @nbaontnt"
95,"The #NBABreakdown stats on Kawhi’s incredible #TissotBuzzerBeater! #ThisIsYourTime ...
??: ECF GAME 1
?: 8:30pm/et
??: @nbaontnt"
96,Larry Bird & @magicjohnson will be co-recipients of the Lifetime Achievement Award at the 2019 #NBAAwards presented by Kia (9:00pm/et 6/24 @nbaontnt)!
97,"Both selected 15th overall, Kawhi Leonard & @giannis_an34 headline the @raptors/@bucks Eastern Conference Finals (8:30pm/et @nbaontnt)!"
98,The Eastern Conference Finals between the @raptors & @bucks tips off TONIGHT... 8:30pm/et @nbaontnt!
99,The @warriors open up the Western Conference Finals with a home victory for 1-0 series lead!
100,The @warriors take 1-0 WCF series lead over @trailblazers with 116-94 victory at home! #NBAPlayoffs
101,@stephencurry30 goes high off the glass to his family’s delight! (??: ESPN)
102,@stephencurry30 steps into his 8th triple of the night on ESPN!
103,@stephencurry30 puts up back-to-back triples to end the half on ESPN!
104,@andre finds @jonasjerebko in transition for the @warriors! #NBAPlayoffs (??: ESPN)
105,Dell & Sonya Curry arrive for tonight’s Western Conference Finals opener!
106,@damianlillard steps back early for the @trailblazers on ESPN! #NBAPlayoffs
107,The 2019 #NBADraftLottery order is set.
108,@meyersleonard11 in the “Bright Citron” Nike LeBron 16 HFR! #NBAKicks
109,Who had your fave ASSIST from the Western Conference Semis? #StateFarmAssists
110,The Western Conference Finals between the @trailblazers & @warriors tips off TONIGHT... 9:00pm/et on ESPN!
111,Watch the 2019 #NBADraftLottery Presented by State Farm tonight on ESPN at 8:30pm/et.
112,"For the first time in @nbahistory, brothers will meet in the Conference Finals as @stephencurry30 & the @warriors face @sdotcurry & the @trailblazers!"
113,Kenny Wooten (@kenny) shows off his athleticism and gets up to 150.5 inches at the Max Jump! ?? #EliteCamp @oregonmbb (repost @nbagleague)
114,Four remain in the 2019 #NBAPlayoffs!
115,?? all the angles of Kawhi Leonard’s incredible #TissotBuzzerBeater for the @raptors win! #ThisIsYourTime
116,The @warriors @trailblazers @bucks & @raptors advance to the Conference Finals!
117,The friendly bounce up North! #TissotBuzzerBeater #ThisIsYourTime
118,The @raptors defeat the @sixers 92-90 in GAME 7 to advance to the Eastern Conference Finals!
119,Kawhi gets the friendly bounce with the #TissotBuzzerBeater for the @raptors win to advance to the ECF! #ThisIsYourTime
120,The @raptors advance to the Eastern Conference Finals!
121,@bensimmons spins to set up @joelembiid! (??: @nbaontnt)
122,Poetry in Motion! #PhantomCam
123,"Kawhi goes up on the right, finishes under the left!! (??: @nbaontnt)"
124,Kawhi with the STEAL & SLAM for the @raptors on TNT! #NBAPlayoffs
125,@3jmccollum puts up 37 to lead the @trailblazers in road GAME 7 victory to advance to the WCF!
126,The @trailblazers defeat the @nuggets 100-96 in GAME 7 to advance to the Western Conference Finals!
127,The best action down the stretch as the @trailblazers win GAME 7 on the road to advance to the WCF!
128,@damianlillard with a Mother’s Day hug for mom following the GAME 7 WIN!
129,The @trailblazers advance to the Western Conference Finals! #NBAPlayoffs
130,@3jmccollum hustles back for the CHASEDOWN! #NBAonABC
131,?? how the @sixers & @raptors got to GAME 7 (7:00pm/et @nbaontnt)!
132,"@thats_g_ gets it to fall, plus the foul! #NBAonABC"
133,@jmglitxh27 hangs for the @nuggets finish in GAME 7! #NBAonABC
134,The @sixers & @raptors each look to advance to the Eastern Conference Finals with a GAME 7 WIN... 7:00pm/et @nbaontnt!
135,?? how the @trailblazers & @nuggets got to GAME 7 (3:30pm/et #NBAonABC)!
136,The @trailblazers & @nuggets each look to advance to the Western Conference Finals with a GAME 7 WIN... 3:30pm/et #NBAonABC!
137,?? HAPPY MOTHER’S DAY! ??
138,It’s GAME 7 SUNDAY!
139,"?? DAME: The Origin Story ??
...
??: BLAZERS/NUGGETS Game 7
?: 3:30pm/et Sunday
??: #NBAonABC"
140,We’ve got two GAME 7s on Sunday with trips to the Conference Finals on the line!! #NBAPlayoffs
141,The @warriors advance to the Western Conference Finals... with two Game 7s on deck Sunday!
142,@stephencurry30 puts up 23 in the 4th to lead the @warriors to victory! #NBAPlayoffs
143,The @warriors defeat the @houstonrockets 118-113 to advance to the Western Conference Finals!
144,The @warriors advance to the Western Conference Finals! #NBAPlayoffs
145,@klaythompson with the late triple to extend the @warriors lead on ESPN! #NBAPlayoffs
146,@jharden13 with the save & triple for the @houstonrockets on ESPN! #NBAPlayoffs
147,@sdot1414 soars for the @warriors SLAM on ESPN!
148,@cp3 gets to his spot in transition on ESPN! #NBAPlayoffs
149,Jay Z & @beyonce courtside for @warriors/@houstonrockets Game 6 on ESPN! #NBAPlayoffs #NBACelebRow
150,"The @houstonrockets move the ball to find @officialeg10 wide open on the wing! #NBABreakdown!
...
??: WARRIORS/ROCKETS Game 6
?: 9:00pm/et ??: ESPN"
151,It’s WIN or Go Home for the @houstonrockets as the @warriors look to advance to the Western Conference Finals... 9:00pm/et @nbaonespn!
152,The @sixers & @trailblazers each win at home to force GAME 7s on Sunday!
153,"@damianlillard (32p), @3jmccollum (30p) & @hoodie5 (25p) combine for 87 to lead the @trailblazers in Game 6 victory! #NBAPlayoffs"
154,@damianlillard & @3jmccollum head to the lockerroom with a @trailblazers Game 6 W to force a GAME 7 on Sunday! #NBAPlayoffs
155,The @trailblazers force a GAME 7 with 119-108 victory over the @nuggets at home! #NBAPlayoffs
156,"That’s tough, @damianlillard!!"
157,@hoodie5’s up to a new #NBAPlayoffs career-high 22 for the @trailblazers on ESPN!
158,Logo Lillard pulls up! (??: ESPN)
159,@damianlillard is finding his groove on ESPN! #NBAPlayoffs
160,The @sixers force a GAME 7 with 112-101 victory over the @raptors at home! #NBAPlayoffs
161,@joelembiid’s block sets up @bensimmons in transition!
162,@jimmybutler follows up his miss on ESPN!
163,The KLAW elevates for the board on ESPN!
164,@tobiasharris opens up scoring in Philadelphia on ESPN! #NBAPlayoffs
165,"?? Nikola Jokic’s Court Vision! #NBABreakdown
...
??: @nuggets x @trailblazers Game 6
?: 10:30pm/et
??: @nbaonespn"
166,It’s WIN or Go Home for the @sixers as the @raptors look to advance to the Eastern Conference Finals... 8:00pm/et @nbaonespn!
167,“I knew that people would doubt me.” - @damianlillard is #HeretoCreate
168,The @Bucks advance to the Eastern Conference Finals (4-1) and @warriors take 3-2 series lead in Wednesday’s #NBAPlayoffs action!
169,@klaythompson finishes with the left for the clutch @warriors bucket! #PhantomCam
170,@warriors come up clutch down the stretch to take a 3-2 series lead! #NBAPlayoffs
171,The @warriors take a 3-2 series lead with 104-99 home win! #NBAPlayoffs
172,@officialeg10 between the eyes! (??: @nbaontnt)
173,@jharden13 dumps it off to @pjtucker for the SLAM! (??: @nbaontnt)
174,"@stephencurry30 finishes, through the lens of our slo-mo #PhantomCam! #NBAPlayoffs"
175,@easymoneysniper hits ahead to @stephencurry30 on TNT! #NBAPlayoffs
176,@andre ELEVATES early in Game 5 on TNT! #NBAPlayoffs
177,"Game 5 in Oakland, @nbaontnt NEXT!"
178,The @bucks advance to the Eastern Conference Finals! #NBAPlayoffs
179,Brogdon UP TOP to Hill! #NBAPlayoffs (??: TNT)
180,@giannis_an34 & @kyrieirving show out before the half on TNT! #NBAPlayoffs
181,@giannis_an34 protects the paint for the @bucks on TNT! #NBAPlayoffs
182,"For the first time in @nbahistory, two opposing players are each averaging 35+ PPG in #NBAPlayoffs series!
??: @houstonrockets x @warriors Game 5 ?: 10:30pm/et ??: @nbaontnt"
183,"?? @money23green mic’d up! ??
...
??: @houstonrockets x @warriors Game 5
?: 10:30pm/et ??: @nbaontnt"
184,"In @BudweiserUSA #LegendaryMoments history, we showcase Gerald Henderson’s clutch steal for the @celtics in Game 2 of the 1984 #NBAFinals! Who do you have tonight... @celtics or @bucks?"
185,The @houstonrockets & @warriors each look to take 3-2 series lead with a win... 10:30pm/et @nbaontnt!
186,It’s WIN or Go Home for the @celtics as the @bucks look to advance to the Eastern Conference Finals... 8:00pm/et @nbaontnt!
187,The @raptors & @nuggets each win at home for 3-2 series leads! #NBAPlayoffs
188,Nikola Jokic (25p/19r) & @paulmillsap4 (24p/8r) power the @nuggets Game 5 victory for 3-2 lead! #NBAPlayoffs
189,The @nuggets take 3-2 series lead over @trailblazers with 124-98 at home! #NBAPlayoffs
190,"@jmglitxh27 under the rim, three times! #NBAPlayoffs (??: @nbaontnt)"
191,Kawhi won’t be denied!!
192,KAWHI RISES UP on TNT! #NBAPlayoffs
193,@sergeibaka off the dribble ?? (??: @nbaontnt)
194,The @raptors turn defense into the Kawhi SLAM!
195,"@joelembiid & @sergeibaka protect the paint! #NBABreakdown ??: @sixers/@raptors G5
?: 8:00pm/et ??: @nbaontnt"
196,"In @BudweiserUSA #LegendaryMoments history, we showcase @kennysmith’s 7-three performance in Game 1 of the 1995 #NBAFinals! Who do you have in Game 5 Wednesday...@houstonrockets or @warriors?"
197,Two pivotal Game 5s in tonight’s @nbaontnt #NBAPlayoffs action!
198,@jharden13 puts up game-high 38 in @houstonrockets Game 4 victory!
199,The @houstonrockets even their series with the @warriors 2-2 on 112-108 home victory! #NBAPlayoffs
200,@cp3 handle & dime to @austinjrivers on TNT! #NBAPlayoffs
201,@jharden13 slips the screen for the layup to end the 3rd Q! #NBAPlayoffs (??: TNT)
202,Congrats to @jharden13 of the @houstonrockets for moving up to 12th on the #NBAPlayoffs 3PM list!
203,@easymoneysniper fakes & drops it off to @flyght5! #NBAPlayoffs (??: TNT)
204,@stephencurry30 handles early in Game 4! #NBAPlayoffs (??: TNT)
205,The @bucks take 3-1 series lead over @celtics with 113-101 victory in Boston! #NBAPlayoffs
206,@giannis_an34 DOWN THE LANE! #NBAPlayoffs
207,?? the block & the and-1 finish for @giannis_an34 on TNT! #NBAPlayoffs
208,@patconnaughton turns defense into offense with the BLOCK & SLAM for the @bucks on TNT! #NBAPlayoffs
209,@kyrieirving breaks free to find @alhorford on TNT! #NBAPlayoffs
210,@giannis_an34 fights through the lane for the @bucks! #NBAPlayoffs
211,@thebledshow goes up & under for the @bucks on TNT! #NBAPlayoffs
212,@youngamechanger is available to play for the @celtics tonight (7:00pm/et @nbaontnt)! #NBAPlayoffs
213,"@ccapela15 protects the paint for the @houstonrockets! #NBABreakdown
...
??: @warriors x @houstonrockets Game 4
?: 9:30pm/et ??: TNT"
214,"???? GIANNIS: THE ORIGIN STORY ????
??????
??: BUCKS/CELTICS Game 4
?: 7pm/et ??: TNT"
215,The @bucks and @warriors seek commanding 3-1 leads... while the @celtics and @houstonrockets look to even it up 2-2 in tonight’s @nbaontnt #NBAPlayoffs action!
216,The #NBAPlayoffs bracket ahead of tonight’s action!
217,Join us in wishing @cp3 of the @houstonrockets a HAPPY 34th BIRTHDAY! #NBABDAY
218,The @raptors (2-2) and @nuggets (2-2) both won on the road in Sunday’s #NBAPlayoffs action!
219,@jmglitxh27 puts up a game-high 34 to lead the @nuggets on the road! #NBAPlayoffs
220,The @nuggets even their series 2-2 with @trailblazers on 116-112 victory in Portland! #NBAKicks
221,?? finds the cutting @thats_g_ for the late @nuggets bucket! #NBAPlayoffs
222,Nikola Jokic notches his 4th triple-double of the #NBAPlayoffs for the @nuggets!
223,@sdotcurry beats the buzzer for 16 first-half points on TNT! #NBAPlayoffs
224,@sdotcurry is feelin’ it with three straight triples! #NBAPlayoffs
225,@chiefhasarrived rocks the rim off the @damianlillard dish! #NBAPlayoffs
226,@jmglitxh27 hammers it home for the @nuggets on TNT! #NBAPlayoffs
227,How @jmglitxh27!!
228,Kawhi scores 22 in the second-half to lead @raptors to road W! #NBAPlayoffs
229,Kawhi Leonard buries the clutch triple late in the shot-clock! #NBAPlayoffs
230,@joelembiid spins to the rim for the @sixers! #NBAPlayoffs #NBAonABC
231,@kyle_lowry7 with the pin-point dime to @pskills43 on ABC! #NBAPlayoffs
232,@joelembiid with the swat.. @bensimmons with the slam! #NBAPlayoffs #NBAonABC
233,@joelembiid flushes it home for the @sixers! #NBAPlayoffs (??: #NBAonABC)
234,"The @sixers force the turnover! #NBABreakdown ...
??: @raptors/@sixers G4
?: 3:30pm/et ??: #NBAonABC"
235,The @houstonrockets win Game 3 126-121 in overtime & now trail the @warriors 2-1! #NBAPlayoffs
236,@jharden13 triple + floater LATE in OT propels the @houstonrockets to a Game 3 victory! #NBAPlayoffs
237,Congrats to @jharden13 of the @houstonrockets for moving up to 13th on the #NBAPlayoffs 3PM list as we celebrate @budweiserusa #LegendaryMoments
238,@money23green has recorded his 6th career #NBAPlayoffs triple-double on #NBAonABC! #NBAPlayoffs
239,@cp3 finds a rolling @ccapela15! #NBAonABC #NBAPlayoffs ??
240,@warriors turn defense into transition offense! #NBAonABC #NBAPlayoffs
241,Congrats to @easymoneysniper of the @warriors for moving up to 10th on the #NBAPlayoffs SCORING list!
242,Congrats to @easymoneysniper of the @warriors for moving up to 7th on the #NBAPlayoffs 3PM list!
243,?? @ccapela15 protects the rim! #NBAonABC #NBAPlayoffs ??
244,GAME 3 STARTS NOW! #NBAPlayoffs #NBAonABC
245,"@money23green’s defensive rotation leads to a stop! #NBABreakdown .
??: @warriors x @houstonrockets G3
?: 8:30pm/et ??: #NBAonABC"
246,"?? STEPH CURRY: ORIGIN STORY ??
...
??: @warriors x @houstonrockets G3
?: 8:30pm/et ??: #NBAonABC"
247,The @warriors look to go up 3-0... while the @houstonrockets look to get on track at home... 8:30pm/et #NBAonABC! #NBAPlayoffs
248,Join us in wishing @vicoladipo of the @pacers a HAPPY 27th BIRTHDAY! #NBABDAY
249,The @bucks and @trailblazers (in 4OT!) each take 2-1 series leads in Friday’s #NBAPlayoffs action!
250,"@hoodie5 puts the @trailblazers up, through the lens of our slo-mo #PhantomCam! #NBAPlayoffs"
251,@3jmccollum scores 18 of his game-high 41 following regulation! #NBAPlayoffs
252,"?? “Both teams competed.. we wanted that game bad..” - @3jmccollum, 60 minutes of action. #NBAPlayoffs"
253,The @trailblazers take a 2-1 series lead over @nuggets with a 4OT 140-137 home win... the second 4OT game in #NBAPlayoffs history!
254,@hoodie5 puts the @trailblazers up for good in 4th OT!! #NBAPlayoffs
255,@damianlillard drives to send @nuggets/@trailblazers to a 4th OT! (??: ESPN)
256,@paulmillsap4 fades to put @nuggets up 4 in 3OT on ESPN!
257,Nikola Jokic notches his 3rd triple-double of the #NBAPlayoffs for the @nuggets! #TripleDoubleAlert
258,Late buckets send @nuggets/@trailblazers to OT on ESPN!
259,@damianlillard pulls up from deep for the @trailblazers! #NBAPlayoffs (??: ESPN)
260,@jmglitxh27 uses the screen for the @nuggets triple on ESPN! #NBAPlayoffs
261,The @bucks take 2-1 series lead over @celtics with 123-116 victory in Boston! #NBAPlayoffs
262,@damianlillard gets to the rim for the @trailblazers on ESPN! #NBAPlayoffs
263,@giannis_an34’s SWAT sparks the @bucks transition on ESPN!
264,?? Jaylen Brown rises up!
265,@fchwpo’s block sets up the @foestar13 triple! #NBAPlayoffs (??: ESPN)
266,@kyrieirving’s going to work on ESPN! #NBAPlayoffs
267,@kyrieirving stops on a dime for the triple! #NBAPlayoffs (??: ESPN)
268,"The @celtics and @bucks look to DEFEND! #NBABreakdown
...
?: 8:00pm/et ??: ESPN"
269,"?? Logo Lillard Returns Home ??
...
??: @nuggets x @trailblazers G3
?: 10:30pm/et ??: ESPN"
270,Tonight’s ESPN #NBAPlayoffs action features two Game 3s!
271,@joelembiid throws down the WINDMILL off the drive! #PhantomCam
272,?? JIMMY BUTLER Mic’d Up! ??
273,?? JOEL EMBIID ??
274,Kawhi Leonard fades for 31 points on ESPN! #NBAPlayoffs
275,Kawhi off the dribble with the LEFT! #NBAPlayoffs (??: ESPN)
276,The @sixers move the ball to find @bensimmons on ESPN! #NBAPlayoffs
277,"@joelembiid with the touch-pass! #NBABreakdown
...
??: @raptors/@sixers G3
?: 8:00pm/et ??: ESPN"
278,"???? Kawhi: The Origin Story ????
...
??: @raptors/@sixers G3
?: 8:00pm/et ??: ESPN"
279,The @raptors & @sixers each seek a 2-1 series lead! #NBAPlayoffs
280,Join us in wishing @ygtrece of the @okcthunder a HAPPY 29th BIRTHDAY! #NBABDAY
281,The @trailblazers even the series 1-1 with @nuggets on 97-90 victory in Denver! #NBAPlayoffs
282,Between the legs!
283,@mbeasy5 punches it home in transition for the @nuggets!
284,The @trailblazers move the ball to find @hoodie5! #NBAPlayoffs (??: @nbaontnt)
285,@biggametae & @mbeasy5 showcase their handles for the @nuggets bucket on TNT! #NBAPlayoffs
286,From behind the arc... the Round 1 #MtnDew3PT leaders! #NBAPlayoffs
287,In @BudweiserUSA #LegendaryMoments history we highlight @billwalton’s heroic #NBAFinals MVP performance to secure the @trailblazers 1977 NBA championship! Who do you have in Game 2 tonight…@trailblazers or @nuggets?
288,"Will the @nuggets take 2-0 series lead, or will the @trailblazers even it up 1-1?"
289,The @bucks (1-1) and @warriors (2-0) each WIN in Tuesday’s #NBAPlayoffs action!
290,The @warriors take 2-0 series lead over @houstonrockets with 115-109 home victory! #NBAPlayoffs
291,@money23green gets the open slam off the @warriors ball movement!
292,The @warriors move the ball to find @andre! #NBAPlayoffs (??: @nbaontnt)
293,The @bucks even the series 1-1 with a 123-102 home victory! #NBAPlayoffs
294,AIR JAYLEN! #NBAPlayoffs (??: @nbaontnt)
295,@kyrieirving fades from the baseline on TNT! #NBAPlayoffs
296,@alhorford & @giannis_an34 trade EMPHATIC SLAMS on TNT! #NBAPlayoffs
297,"3??5??EASY MONEY3??5?? ...
??: @houstonrockets/@warriors G2
?: 10:30pm/et ??: @nbaontnt"
298,"?? THE BEARD ?? ...
??: @houstonrockets/@warriors G2
?: 10:30pm/et ??: @nbaontnt"
299,"?? THE GREEK FREAK ??
...
??: @celtics/@bucks G2
?: 8:00pm/et ??: @nbaontnt"
300,"?? KYRIE IRVING ??
...
??: @celtics/@bucks G2
?: 8:00pm/et ??: @nbaontnt"
301,"In tonight’s @nbaontnt #NBAPlayoffs action, the @celtics & @warriors each look to go up 2-0... while the @bucks & @houstonrockets look to make it 1-1!"
302,The @sixers (1-1) and @nuggets (1-0) each win on Monday! #NBAPlayoffs
303,The @nuggets take 1-0 series lead over @trailblazers with 121-113 home victory! #NBAPlayoffs
304,???? GARY HARRIS ????
305,@damianlillard goes UP & UNDER for the @trailblazers on TNT! #NBAPlayoffs
306,@damianlillard steps back for the @trailblazers triple! #NBAPlayoffs (??: @nbaontnt)
307,@thats_g_ hangs & finishes on TNT! #NBAPlayoffs
308,@jimmybutler scores 12 in the 4th to seal @sixers road victory! #NBAPlayoffs
309,The @sixers even the series 1-1 with @raptors on 94-89 victory in Toronto! #NBAPlayoffs
310,The footwork late in the 4th! #NBAPlayoffs
311,"Logo Lillard... @damianlillard shot 8/12 from beyond 30 feet in the opening round of the 2019 #NBAPlayoffs! ...
??: @trailblazers/@nuggets G1
?: 10:30pm/et ??: @nbaontnt"
312,@pskills43 spins off the dribble for the @raptors! #NBAPlayoffs (??: @nbaontnt)
313,?? the TOP 3 ASSISTS in the EAST from the opening round of the #NBAPlayoffs! #StateFarmAssists
314,"?? The JOKER ??
...
??: @trailblazers/@nuggets G1
?: 10:30pm/et ??: @nbaontnt"
315,"?? @damianlillard’s epic #TissotBuzzerBeater as heard around the ??! #ThisIsYourTime
...
??: @trailblazers/@nuggets G1
?: 10:30pm/et ??: @nbaontnt"
316,The @sixers & @raptors play Game 2 and the @trailblazers & @nuggets open their series in tonight’s @nbaontnt action! #NBAPlayoffs
317,The current #NBAPlayoffs bracket!
318,A look at the numbers as the @nuggets advanced to the Conference Semis!
319,"Joe Borgia, NBA Senior Vice President of Replay & Referee Operations, joined @nbatv to discuss two plays from @houstonrockets/@warriors and what constitutes a foul in cases of defenders closing out on shooters."
320,The @celtics and @warriors each take 1-0 series leads on Sunday!
321,?? the fantastic finish of @houstonrockets/@warriors Game 1! #NBAPlayoffs
